seed,leg,method,query_id,rank,r1,rr
41,library,SMA,ff181be9d09f22550782ea19ab6941821d4c331a6319df14e97379e5670f3bf5,1,1.0,1.0
41,library,SMA,d4ac4eda3af524a7f9ba69495531afbbbf3af87d2797ca299b811cb8d1b4b597,1,1.0,1.0
41,library,SMA,c75d016a564f7c633b207731e440402739b6d8995611d4c2daa6bed6e0c75f2b,1,1.0,1.0
41,library,SMA,077c02668b0d01f5e815035cda96e2917873c6862d6ad4614a3361eb4cba9d3e,1,1.0,1.0
41,library,SMA,8641379c8a89d1c316454cdd6b5a87195bf88fb61aa64a0b2d79a64d2a26dd50,1,1.0,1.0
41,library,SMA,f7b0443f9f04910382f7d8a2d6dfaf98371763c3a136b1e665e6dc02902a6233,1,1.0,1.0
41,library,SMA,b104fdb9768309453e091eca62f22298c2d8d17ba912d860ea9534fa4e98ec76,1,1.0,1.0
41,library,SMA,d36c4aaf30f57b0966404c49d0f255a48709189fec282f2b8146f0a6ac486e9a,1,1.0,1.0
41,library,SMA,7deae1325c85751ca0d2db631032402b73a9dac68aafc187a7c8c967656c5d60,1,1.0,1.0
41,library,SMA,0e671362af5fc010bf7876ad493c202475b2705aedb22096c388b0d7a4be0e88,1,1.0,1.0
41,library,SMA,876796f7e869779047605c152419d7802f0d3a82a69eb75e74720a7b380526d9,1,1.0,1.0
41,library,SMA,404a969b030e4538f6b226a84ac09b531cfbbabae25974653a17a9d4be6f811d,2,0.0,0.5
41,library,SMA,242caaa16c4fb594e727b9b02bec28d807e4980e02937024b063f5e09ce89613,1,1.0,1.0
41,library,SMA,76e1ac72a853dc1314ec59f681a90defb0b682803d3297f5b4f5f11dd99927e5,1,1.0,1.0
41,library,SMA,227fbe1482d2e5495e142c7cd27e91713e55481059ebc4ec27c76253646b34fa,1,1.0,1.0
41,library,SMA,81aeac1fc07d6e7cf5cb1575924f93ac769975a716be6d4ec74be51fbfded485,1,1.0,1.0
41,library,SMA,248544372ebd7680753cf7d2006d0c0c248f4564567068fba768e93f788ebd53,2,0.0,0.5
41,library,SMA,3134d80c3e2be289aba0dbeb99d7a103dd392b1d83eb42c0d2a4ae69e9a24fdc,1,1.0,1.0
41,library,SMA,b1f466f9f5d0ed1503c3ca65408a61ddc492fd39be3d2b257dfb2ec25185e779,1,1.0,1.0
41,library,SMA,4f8672ec6c85b06977eb11b5703c60b3857e132601dc34c4aa7aa2306cab2a26,1,1.0,1.0
41,library,SMA,bb71ef8d6dc5c17bb5f2373f266118ba21433ace46c150594f521037ba1d875a,1,1.0,1.0
41,library,SMA,0f605f90585f308400cb5f96f35d0b8840aa95fd98bd2534b67f3610f400e96b,1,1.0,1.0
41,library,SMA,84b3b552c09498e6c92d4d05a7745fa14aab01c6cddf222ba1fbe3633e487248,1,1.0,1.0
41,library,SMA,750cc3a4d9725cb537018152ab216cf8b091446e9f56cb4893fc07e50766536f,1,1.0,1.0
41,library,SMA,302a4e0b367df7b43672828b9450b7683ef8ae198de13d19c0b52e9cec78efe0,1,1.0,1.0
41,library,SMA,3ec88083b4ae7a35d52d5bdccc1da785d87cbe75112ef3b4d9961e199ef08241,1,1.0,1.0
41,library,SMA,8cc072967ef7d44721be10ef496e713fadb9b14ff16edac4d3788a3abdd810da,1,1.0,1.0
41,library,SMA,ee81e285c09c6c361000cf797dadc492bcb41d0d093c61f2b0d6d92340265799,1,1.0,1.0
41,library,SMA,5e491e67ccc678a25c8a383f2d9257421f7c5b4914895852df55df37c33406c1,1,1.0,1.0
41,library,SMA,aaf0cddad28a8cfc13ba350d608163440139e1163a26eba3e949a84d2904d8e2,1,1.0,1.0
41,library,SMA,727da7a31968c3cdcddb946957b76bcd2fa50337dd8ffb715dee03f95c62be93,1,1.0,1.0
41,library,SMA,8af626c0b55fc255c4565fc8935acf47a4499440f3da42e8cdc8ba1695051da3,1,1.0,1.0
41,library,SMA,6d91f9a017a0f3e34573d80df65ee7385377b02481a84949a2d24f038eca2938,1,1.0,1.0
41,library,SMA,81d61f662085e31f20a2ea39a11ac25b55109768cba152a37c309b0edc0ce381,1,1.0,1.0
41,library,SMA,c07d53b2f78714dc2fb1687715c83a616299a61239e2436c3a5204dbc7967116,1,1.0,1.0
41,library,SMA,f659de55f303cd1f3556cf7ec6eb2f6bdfc5437e39890d136c0168eaf4bbf487,1,1.0,1.0
41,library,SMA,19fc13e852f4d635ec8108e97e5fbded5a3807c21ac4138ea3c881c848a1bc05,1,1.0,1.0
41,library,SMA,eaeaa780ecb59a59d0e7aee72809a0e89a76df7bb020f8b0a84a7417f96c7a55,1,1.0,1.0
41,library,BM25,857abac8e48bf190b9dace1f250a3f7b0a5398ea64f3c0ef3242676cb2e7beec,0,0.0,0.0
41,library,BM25,4983ed4e2efec3f237fa6aae323802a5802d53c61801a0a9fb998c3d19087ce5,0,0.0,0.0
41,library,BM25,f2e81d4b25ade5f081f1cec62aafb08bc596640aabd0336a24e63da791bd1745,0,0.0,0.0
41,library,BM25,b624d1d49ec0d881812596e0c69c28eb29b8551280c6de7116b4aff2c62810d7,0,0.0,0.0
41,library,BM25,2cdabda0e7456a46d9151e284e51249b04b898d7f3a45ddf47d415c93c479b82,0,0.0,0.0
41,library,BM25,158e644122cf79bdaa6fe07013cebfafe14a35931c3a36184f34c37be7b6bf42,0,0.0,0.0
41,library,BM25,96b266e222c2f83a3c7eb429d47446629656bda608a2d5f2d81688fe29f2d48c,0,0.0,0.0
41,library,BM25,73eccbbde45e0215b88512f722793c6479981e443e57c4d969a32b2cec7d81ad,0,0.0,0.0
41,library,BM25,8f004cf4ebabe4ddae4a9038d64de9585833a6916817b72325d86d832ae4d458,0,0.0,0.0
41,library,BM25,eec2f41e9f3db35307f33e7fbbb3fadf4f65e2d876f3c475574ae15710bb1c63,0,0.0,0.0
41,library,BM25,7e9da7d65cf0c2b08d38bd49e82408a36b22a1f4fec14300ede6a74480d44b3e,0,0.0,0.0
41,library,BM25,3e55f2182743833951ada91dfa6c7d26b9efba8cd02691b4141d69447a369b2d,7,0.0,0.14285714285714285
41,library,BM25,03f0cbaa6f753918b1e458f2dcc10f43113242bba45ce25cd33bd736d9b59a2d,0,0.0,0.0
41,library,BM25,b6d4bda0c544c5e81cfab9070f4cfc69f75540a5b208a03901fd1e523abec280,0,0.0,0.0
41,library,BM25,5fc402f526b5f104cab6052deecf7b8fa24ede5cc5c16f47922f6170034040c8,0,0.0,0.0
41,library,BM25,78fb5a7c6f113b81537bf758d58d36e86252561bce5d9719740c693994bf7928,0,0.0,0.0
41,library,BM25,9da1d68de5219e4b981f1ae5b9278c9e56ce390fca029f565b0d91e1f464718e,0,0.0,0.0
41,library,BM25,1e6253cbf2b0b519f364d744530b3e92ba84004d332078b2e7fa7fdc392ba52c,0,0.0,0.0
41,library,BM25,fd0dcfb33f92105df4bcd2ed3ac767b23b6ab9838e092bd1d4fc8c9a56a580fd,0,0.0,0.0
41,library,BM25,4c3bd4291c460520743eeb7396fca9c8cef8bdf1ea55176677edd1f26981139d,0,0.0,0.0
41,library,BM25,8b257a0edfe2e31964b0fdd07a442ec98ab23302dcc7f2eebb656c888534fe58,0,0.0,0.0
41,library,BM25,38ed5843a4a31edd66e0c72170b2e90e53168668473d8f3c4168b3cedb6c609f,0,0.0,0.0
41,library,BM25,06cc6e47f4b855fe7c3008089053833c2cf9ccf9460135503404d48890bd13f1,0,0.0,0.0
41,library,BM25,09b9ee635a2094b10d94cd7542c4378c3d4a6356b6ba52236b342d769ee5abca,0,0.0,0.0
41,library,BM25,d42a2aae86599b2d5edf7b8f7b2d59eee4057b53114688a0ad6c17731e10e2e9,0,0.0,0.0
41,library,BM25,59b11642fa61537d4a735cc5a7091824876cce6631307a170056253bf81bcd3b,0,0.0,0.0
