ses_raw,u_bound
168.750000,1148.000000
162.500000,1148.000000
165.500000,1148.000000
160.000000,1148.000000
136.250000,1144.000000
133.750000,1164.000000
131.500000,1144.000000
130.250000,1144.000000
130.250000,1144.000000
130.250000,1144.000000
130.250000,1144.000000
130.250000,1144.000000
130.250000,1144.000000
130.250000,1144.000000
129.500000,1180.000000
129.000000,1144.000000
127.000000,1144.000000
127.000000,1144.000000
127.000000,1144.000000
124.250000,1144.000000
124.250000,1144.000000
124.250000,1144.000000
124.250000,1144.000000
130.250000,1144.000000
130.250000,1144.000000
130.250000,1144.000000
127.500000,1144.000000
126.000000,1144.000000
127.000000,1144.000000
118.000000,1144.000000
118.000000,1144.000000
118.000000,1144.000000
118.000000,1144.000000
118.000000,1144.000000
118.000000,1144.000000
122.500000,1144.000000
121.000000,1160.000000
117.000000,1144.000000
117.500000,1144.000000
125.750000,1144.000000
119.250000,1144.000000
119.000000,1164.000000
134.000000,1148.000000
139.000000,1168.000000
105.750000,1144.000000
134.000000,1148.000000
134.000000,1148.000000
134.000000,1148.000000
87.000000,772.000000
84.750000,864.000000
145.000000,1148.000000
82.500000,768.000000
81.000000,812.000000
80.750000,772.000000
80.750000,772.000000
102.000000,1144.000000
104.250000,1144.000000
102.500000,1144.000000
76.000000,768.000000
76.000000,768.000000
102.750000,1148.000000
108.750000,1148.000000
100.750000,1148.000000
94.750000,1148.000000
98.500000,1168.000000
101.250000,1148.000000
95.000000,1148.000000
95.750000,1164.000000
98.000000,1148.000000
88.750000,1052.000000
106.500000,1148.000000
